"","CUE","Nletters","Lg10WF","AoA_Kup_lem"
"34","bat",0.265915492957746,-0.0789352240244514,-0.0922091828169007
"35","bath",0.205244755244755,0.0721225838685848,-0.183183041958042
"36","bathroom",0.185583822570124,-0.108020450607431,-0.997266269406393
"37","bathtub",-0.0143750000000002,-0.00126479635795151,-0.581587084375
"38","be",-0.704238258877434,0.185610541849159,-0.602199090798014
"39","beach",0.107468123861566,-0.134987971769128,0.0214110142683666
"40","beads",-0.108581722895513,-0.113261060549958,0.0325575779561085
"41","beans",0.350909090909091,-0.0530697575936512,0.0396974181818184
"42","bear",0.323876404494382,-0.00949247129957342,-0.0283683907303374
"43","because",-0.286474164133739,0.313354009125978,-0.263801611448835
"44","bed",0.349297573435504,-0.206208662371603,-0.0801692273307797
"45","bedroom",-0.260033917467496,0.18610103936518,-0.585825622385528
"46","bee",0.195268644747394,-0.183409928740318,-0.623279183239775
"47","behind",0.0484388938447822,0.169521427835367,-0.114210218198037
"48","belly button",-0.175146771037182,0.0320478232248065,-0.389272192270059
"49","belt",-0.427222222222222,0.312977926463938,-0.769060584444444
"50","bench",-0.336509146341464,0.188163841208527,-0.392898781631098
"51","better",-0.409631147540983,0.12004595978362,-0.996601200409836
"52","bib",-0.132369299221358,0.0282290852530971,-0.0727690550611788
"53","bicycle",-0.148009950248756,0.11818199935127,-0.0456608963515759
"54","big",-0.230952380952381,0.0908950859567996,-0.576989823809524
"55","bird",-0.0884220810942846,0.0421695586348592,-0.392780002279759
"56","bite",0.0335890878090366,-0.169647497014838,0.106518486104007
"57","black",-0.195680206318504,0.0605798627830527,-0.340984549323017
"58","blanket",0.299071618037135,0.00200487001213823,0.183385241379311
"59","block (object)",0.171963171963172,-0.250300074089885,0.307094588803089
"60","blow",0.276109307359307,-0.133836586076507,-0.401500012581169
"61","blue",-0.0397363830199655,0.036560450564485,-0.15068517464625
"62","boat",0.0889471561113346,0.00959856739876752,-0.63247272166196
"63","book",-0.29236812570146,0.231223173238448,-1.00102656004489
"64","boots",-0.168688911358275,0.0495998409080989,-0.506454218907988
"65","bottle",-0.433333333333334,-0.0253214595145983,-0.0907693250000001
"66","bowl",-0.455126628964839,0.183779814513534,-0.503879478731251
"67","box",0.106054323035455,-0.0357853981149887,-0.24404270733983
"68","boy",-0.0773809523809526,0.280641645202059,-0.256638569444444
"69","bread",-0.260695187165775,-0.0335144661645486,-0.113294289724981
"70","break",-0.135135135135135,-0.0153501230831088,-0.434434181408681
"71","breakfast",0.37070938215103,-0.0373257986069624,-0.67380306559878
"72","bring",-0.409593724859212,0.0864640087777366,-0.361680941472244
"73","broken",-0.263529411764706,0.00310655330730869,-0.0491753700000004
"74","broom",-0.228571428571429,0.0386041653272198,-0.353871
"75","brother",-0.241176470588234,0.182363438173853,-0.666602852941176
"76","brown",-0.0775919732441466,-0.0374722285617239,-0.254675980936454
"77","brush",0.0710077519379846,-0.0558329896723788,-0.0938161899224808
"78","bubbles",-0.045255137381667,-0.0810603700445442,0.101295185407527
"79","bucket",-0.104279686558168,-0.145450257475831,0.0378626454189268
"80","bug",-0.42901502918892,0.116439954379743,-0.592453051049559
"81","build",-0.242663981588032,0.143201789329382,-0.639077580840046
"82","bump",-0.303370786516854,-0.0491130301288307,-0.310734279202884
"83","bunny",-0.37202380952381,0.109535274403488,-0.306819535714285
"84","bus",-0.166363084395871,0.215822640339263,-0.470748977534912
"85","butter",0.173913043478261,0.0417004050598808,0.0140728025362318
"86","butterfly",-0.0811064228785749,-0.0219676174417947,-0.359964682137834
"87","buttocks",0.374195812375716,0.117654197965146,-0.713031721487893
"88","button",-0.181263616557734,-0.00649595647690271,-0.525168098184459
"89","buy",-0.076119402985074,0.134853560107427,-0.479339057089552
"90","by",-0.352092352092352,0.184902703876935,-0.451910205194805
"91","bye",-0.0805348258706466,0.0413675427116389,-0.247720232898009
"92","cake",0.178823529411765,-0.105591597751981,-0.229082352941176
"93","call (on phone)",0.14223309453084,0.0271290288890547,-0.240885745587978
"94","camera",-0.104313173933427,0.023566401962861,-0.129524303563057
"95","candy",0.231189575451871,0.0149797084615861,-0.233714730559059
"96","car",-0.144736842105263,0.0917426333835047,-0.522178956033375
"97","careful",-0.363679200829328,0.256521029432971,-0.818772233813966
"98","carrots",0.29817953546767,-0.0573563800830001,-0.139904653693241
"99","carry",-0.0776955602536997,0.216334958494045,-0.531494443446089
"100","cat",0.115686274509804,-0.0498171456306609,-0.307319867320262
"101","catch",0.313432835820896,-0.111979124768557,0.107809110400378
"102","cereal",0.0497435897435894,-0.0340835535591664,-0.46447583948718
"103","chair",-0.175184275184275,0.273960284515347,-0.367772217936118
"104","chalk",0.36260914227016,-0.0182921073841555,-0.30857948895737
"105","chase",-0.21366215626364,0.131617368533307,-0.331517094281973
"106","cheek",-0.0141176470588231,0.114045984737354,-0.650270483137255
"107","cheerios",-0.246803069053708,0.0377693282134839,-0.368291710997442
"108","cheese",0.370588235294118,0.053447334635663,-0.855984238655462
"109","chin",-0.457180500658762,0.112533581826879,-0.624848636802811
"110","chocolate",-0.31916461916462,0.185522978308983,-0.68682651081081
"111","choo choo",0.0220713073005099,0.0379564605816753,-0.440410104980193
"112","church",-0.476362943194816,0.35357178778538,-1.29821410579489
"113","circus",0.0291689598238856,0.0717909368846437,-0.422026560080719
"114","clap",0.381422189128815,-0.0269531513736769,0.267048656366344
"115","climb",-0.391452991452992,0.275556816358722,-0.560227092307692
"116","clock",-0.556299603174603,0.181291315285679,-0.796242923611111
"117","close (verb)",-0.187906046976511,0.0568485454005252,-0.505778012993503
"118","closet",-0.218253968253968,-0.00530563606032741,-0.0619471746031754
"119","cloud",-0.259920634920634,0.256355927816213,-1.14845893849206
"120","clown",0.257699560025141,0.060581974648894,-0.173366500942803
"121","coat",-0.195060483870968,0.0480439539738939,-0.475108231854839
"122","cockadoodledoo",0.122800844475721,0.101309830833238,-0.134586344827586
"123","coffee",0.166453265044814,-0.229141850685498,-0.745341467349552
"124","coke",-0.481895984200132,0.269762611297715,-1.03094792626728
"125","cold",0.588263245426467,-0.162658739560147,0.0497313715846994
"126","comb",0.53209242618742,-0.165678195908413,-0.171801317715019
"127","cook",0.0699404761904763,-0.247419487429906,0.171322404166666
"128","cookie",-0.154728682170543,0.0489735405607559,-0.720425018914729
