"","CUE","Nletters","Lg10WF","AoA_Kup_lem"
"36","bathroom",-0.0303922511176271,-0.202244299434643,-0.699847859010719
"37","bathtub",-0.0793940097515664,0.082590277361926,-0.218128974750407
"38","be",-0.780011689070719,0.330036423266979,-0.300503632729398
"39","beach",0.0281961060286182,0.0702405699995281,-0.208167558667605
"40","beads",0.0776315118118278,-0.0272585284074713,-0.280343380529619
"41","beans",0.137690631808279,0.0801938590557953,-0.514368250762527
"42","bear",0.0341463414634147,0.0559874645791725,-0.405280375958188
"43","because",-0.395489926739927,0.171283543539262,-0.326254310057998
"44","bed",0.0608541555909978,-0.0484556513092933,-0.454431996455786
"45","bedroom",-0.427390341773903,0.215360873951653,-0.742508943256768
"46","bee",-0.104821346770499,0.0788231179842351,-0.349029336933119
"47","behind",0.0543107411619523,0.240463820572081,-0.127945664831708
"48","belly button",0.215871722931186,0.0749313002591725,-0.747095313708631
"49","belt",-0.275309054460408,0.16839212478784,-0.662378131497303
"50","bench",-0.382686377652821,0.217904093090103,-0.465208465422637
"51","better",-0.264948691340943,0.174697559607607,-0.68906735148161
"52","bib",0.152110652056763,-0.11078722868541,-0.0746054570864016
"53","bicycle",-0.0577231931979219,-0.0107605860268891,-0.0598367755314122
"54","big",-0.303893918566621,-0.0021162869612521,-0.144871387235152
"55","bird",-0.0402352468793179,0.0264295350714172,-0.144009040069912
"56","bite",-0.110367892976589,-0.110212923653616,-0.0702319498327757
"57","black",0.00227103247237448,0.0126398099827805,-0.198214752412266
"58","blanket",0.142220056049713,-0.0309088347286384,0.0234325744364572
"59","block (object)",-0.156987577639751,-0.0702212169932444,0.0219353001552793
"60","blow",0.133105802047782,-0.153598584734814,-0.409836781569966
"61","blue",-0.0201342281879198,0.00162307095788172,-0.308487808724832
"62","boat",0.0938273018781492,0.0843034567050793,-0.501540073293633
"63","book",-0.259717514124294,0.332375569172012,-0.954963124293785
"64","boots",-0.129600277665298,0.0219088754738728,-0.580976353965408
"65","bottle",0.10994429299514,0.0569352115863264,-0.492365286002133
"66","bowl",-0.243910451964144,0.0528225847587822,-0.350098865302483
"67","box",-0.200701653555563,0.101368789709081,-0.458251395632027
"68","boy",-0.12915146522302,0.248090374299359,-0.120451387454396
"69","bread",-0.0972003774771935,0.144012489729434,-0.399885751421589
"70","break",-0.265215264187867,-0.0407325203735405,-0.475860611790607
"71","breakfast",0.0329446340538491,0.2631707408683,-0.399171409307452
"72","bring",-0.464406779661017,0.218071894312676,-0.373787318644068
"73","broken",-0.301153402537486,0.0217791879450142,-0.166956857862361
"74","broom",-0.155464640561076,0.0603496088780284,-0.331077489479836
"75","brother",-0.156629932456452,0.0255229998853634,-0.21999656090769
"76","brown",0.0376479358866835,-0.0427578915775895,-0.114059170394184
"77","brush",-0.0549133951195806,0.0903169182035413,-0.356039476240064
"78","bubbles",-0.28135593220339,0.0304766148783377,-0.0652231796610163
"79","bucket",0.0699042158669485,-0.12730086832697,-0.00801770269378643
"80","bug",-0.258904965629957,0.109453259196937,-0.486336402093448
"81","build",-0.284982698961938,0.0540986424135697,-0.229544663906888
"82","bump",-0.241638225255972,0.0658416293948529,-0.433034653534861
"83","bunny",-0.0874389323306133,0.0330305001745375,-0.070715590764717
"84","bus",-0.173878423878424,0.197385060606367,-0.491938262887889
"85","butter",-0.114652189476196,0.0592358165468845,-0.0538184131607213
"86","butterfly",-0.220860035293025,0.141866680973712,-0.648344170637132
"87","buttocks",0.0654621628698608,-0.0165092266649358,-0.508695498193244
"88","button",0.236445472661887,-0.0252624179315881,-0.259003528300158
"89","buy",-0.442176870748299,0.258994121850357,-0.744095823129252
"90","by",-0.141773537691586,0.120668508381923,-0.201714757845897
"91","bye",0.234307830534245,-0.0809676917551503,-0.00324717142857089
"92","cake",-0.0757091370619154,0.109740438166238,-0.305792927835051
"93","call (on phone)",-0.226950354609929,0.267136881153989,-0.773450361702127
"94","camera",0.153880731195685,0.202555780614237,-0.852634474877635
"95","candy",0.175063287966513,0.0644899190199206,-0.337468935521468
"96","car",-0.0856178672229726,0.0977732897547079,-0.371958725868205
